collection_url,image_url,image_alt,image_name,image_path,image_size,image_width,image_height,image_format,image_mode,designer,ready_to_wear,menswear,womenswear,season,year,location
https://door11.com/philosophy-di-lorenzo-serafini-ready-to-wear-fall-winter-2016-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Philosophy-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-006.jpg,,Philosophy-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-006.jpg,philosophy-di-lorenzo-serafini-ready-to-wear-fall-winter-2016-milan-2/Philosophy-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-006.jpg,398519,1706,2560,JPEG,RGB,Philosophy,1,0,0,Fall-Winter,2016.0,Milan
https://door11.com/marni-ready-to-wear-fall-winter-2016-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Marni-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-013.jpg,,Marni-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-013.jpg,marni-ready-to-wear-fall-winter-2016-milan-2/Marni-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-013.jpg,159193,1706,2560,JPEG,RGB,Marni,1,0,0,Fall-Winter,2016.0,Milan
https://door11.com/genny-ready-to-wear-fall-winter-2016-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Genny-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-005.jpg,,Genny-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-005.jpg,genny-ready-to-wear-fall-winter-2016-milan-2/Genny-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-005.jpg,372076,1706,2560,JPEG,RGB,Genny,1,0,0,Fall-Winter,2016.0,Milan
https://door11.com/emporio-armani-ready-to-wear-fall-winter-2016-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Emporio-Armani-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-009.jpg,,Emporio-Armani-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-009.jpg,emporio-armani-ready-to-wear-fall-winter-2016-milan-2/Emporio-Armani-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-009.jpg,211064,1706,2560,JPEG,RGB,Emporio-Armani,1,0,0,Fall-Winter,2016.0,Milan
https://door11.com/no21-menswear-fall-winter-2016-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/N21-Menswear-Fall-Winter-2016-Milan-Fashion-Week-Runway-001.jpg,,N21-Menswear-Fall-Winter-2016-Milan-Fashion-Week-Runway-001.jpg,no21-menswear-fall-winter-2016-milan-2/N21-Menswear-Fall-Winter-2016-Milan-Fashion-Week-Runway-001.jpg,240325,1706,2560,JPEG,RGB,N21,0,1,0,Fall-Winter,2016.0,Milan
https://door11.com/giamba-ready-to-wear-fall-winter-2016-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Giamba-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-006.jpg,,Giamba-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-006.jpg,giamba-ready-to-wear-fall-winter-2016-milan-2/Giamba-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-006.jpg,266217,1706,2560,JPEG,RGB,Giamba,1,0,0,Fall-Winter,2016.0,Milan
https://door11.com/stella-jean-ready-to-wear-fall-winter-2016-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Stella-Jean-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-015.jpg,,Stella-Jean-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-015.jpg,stella-jean-ready-to-wear-fall-winter-2016-milan-2/Stella-Jean-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-015.jpg,340478,1706,2560,JPEG,RGB,Stella-Jean,1,0,0,Fall-Winter,2016.0,Milan
https://door11.com/etro-menswear-fall-winter-2016-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Etro-Menswear-Fall-Winter-2016-Milan-Fashion-Week-Runway-010.jpg,,Etro-Menswear-Fall-Winter-2016-Milan-Fashion-Week-Runway-010.jpg,etro-menswear-fall-winter-2016-milan-2/Etro-Menswear-Fall-Winter-2016-Milan-Fashion-Week-Runway-010.jpg,336823,1706,2560,JPEG,RGB,Etro,0,1,0,Fall-Winter,2016.0,Milan
https://door11.com/ports-1961-menswear-fall-winter-2016-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Ports-1961-Menswear-Fall-Winter-2016-Milan-Fashion-Week-Runway-018.jpg,,Ports-1961-Menswear-Fall-Winter-2016-Milan-Fashion-Week-Runway-018.jpg,ports-1961-menswear-fall-winter-2016-milan-2/Ports-1961-Menswear-Fall-Winter-2016-Milan-Fashion-Week-Runway-018.jpg,398689,1706,2560,JPEG,RGB,Ports-1961,0,1,0,Fall-Winter,2016.0,Milan
https://door11.com/mila-schon-ready-to-wear-fall-winter-2016-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Mila-Schon-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-009.jpg,,Mila-Schon-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-009.jpg,mila-schon-ready-to-wear-fall-winter-2016-milan-2/Mila-Schon-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-009.jpg,261493,1706,2560,JPEG,RGB,Mila-Schon,1,0,0,Fall-Winter,2016.0,Milan
https://door11.com/salvatore-ferragamo-ready-to-wear-fall-winter-2016-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Salvatore-Ferragamo-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-020.jpg,,Salvatore-Ferragamo-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-020.jpg,salvatore-ferragamo-ready-to-wear-fall-winter-2016-milan-2/Salvatore-Ferragamo-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-020.jpg,226181,1706,2560,JPEG,RGB,Salvatore-Ferragamo,1,0,0,Fall-Winter,2016.0,Milan
https://door11.com/leitmotiv-ready-to-wear-fall-winter-2016-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Leitmotiv-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-005.jpg,,Leitmotiv-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-005.jpg,leitmotiv-ready-to-wear-fall-winter-2016-milan-2/Leitmotiv-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-005.jpg,312324,1706,2560,JPEG,RGB,Leitmotiv,1,0,0,Fall-Winter,2016.0,Milan
https://door11.com/vivetta-ready-to-wear-fall-winter-2016-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Vivetta-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-018.jpg,,Vivetta-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-018.jpg,vivetta-ready-to-wear-fall-winter-2016-milan-2/Vivetta-Ready-To-Wear-Fall-Winter-2016-Milan-Fashion-Week-Runway-018.jpg,241936,1706,2560,JPEG,RGB,Vivetta,1,0,0,Fall-Winter,2016.0,Milan
